"DATE","Year","Month","Day","Tmin","Tmax","Prec","ssp","gcm","scenario_year","yday","season","id"
"2000-06-23 12:00:00",2000,6,23,20.52,31.3,0.19,"ssp126","ACCESS-CM2","2075",175,2001,"ssp126--ACCESS-CM2--2075"
"2000-06-24 12:00:00",2000,6,24,18.76,34.39,0,"ssp126","ACCESS-CM2","2075",176,2001,"ssp126--ACCESS-CM2--2075"
"2000-06-25 12:00:00",2000,6,25,16.15,24.13,7.07,"ssp126","ACCESS-CM2","2075",177,2001,"ssp126--ACCESS-CM2--2075"
"2000-06-26 12:00:00",2000,6,26,10.87,27.44,6.11,"ssp126","ACCESS-CM2","2075",178,2001,"ssp126--ACCESS-CM2--2075"
"2000-06-27 12:00:00",2000,6,27,15.85,30.33,12.84,"ssp126","ACCESS-CM2","2075",179,2001,"ssp126--ACCESS-CM2--2075"
"2000-06-28 12:00:00",2000,6,28,10.4,26.66,0.36,"ssp126","ACCESS-CM2","2075",180,2001,"ssp126--ACCESS-CM2--2075"
"2000-06-29 12:00:00",2000,6,29,19.3,29.83,0.43,"ssp126","ACCESS-CM2","2075",181,2001,"ssp126--ACCESS-CM2--2075"
"2000-06-30 12:00:00",2000,6,30,22.99,28.47,0,"ssp126","ACCESS-CM2","2075",182,2001,"ssp126--ACCESS-CM2--2075"
"2000-07-01 12:00:00",2000,7,1,19.3,27.22,0,"ssp126","ACCESS-CM2","2075",183,2001,"ssp126--ACCESS-CM2--2075"
"2000-07-02 12:00:00",2000,7,2,19.1,26,5.68,"ssp126","ACCESS-CM2","2075",184,2001,"ssp126--ACCESS-CM2--2075"
"2000-07-03 12:00:00",2000,7,3,17.27,22.89,3.02,"ssp126","ACCESS-CM2","2075",185,2001,"ssp126--ACCESS-CM2--2075"
"2000-07-04 12:00:00",2000,7,4,17.26,21.68,0,"ssp126","ACCESS-CM2","2075",186,2001,"ssp126--ACCESS-CM2--2075"
"2000-07-05 12:00:00",2000,7,5,19.02,26.28,0,"ssp126","ACCESS-CM2","2075",187,2001,"ssp126--ACCESS-CM2--2075"
"2000-07-06 12:00:00",2000,7,6,13.82,31.31,0.55,"ssp126","ACCESS-CM2","2075",188,2001,"ssp126--ACCESS-CM2--2075"
"2000-07-07 12:00:00",2000,7,7,12.38,26.78,0.18,"ssp126","ACCESS-CM2","2075",189,2001,"ssp126--ACCESS-CM2--2075"
"2000-07-08 12:00:00",2000,7,8,8.88,26.55,1.06,"ssp126","ACCESS-CM2","2075",190,2001,"ssp126--ACCESS-CM2--2075"
"2000-07-09 12:00:00",2000,7,9,14.07,30.58,1.98,"ssp126","ACCESS-CM2","2075",191,2001,"ssp126--ACCESS-CM2--2075"
"2000-07-10 12:00:00",2000,7,10,8.93,27.39,0.97,"ssp126","ACCESS-CM2","2075",192,2001,"ssp126--ACCESS-CM2--2075"
"2000-07-11 12:00:00",2000,7,11,13.93,20.35,8.62,"ssp126","ACCESS-CM2","2075",193,2001,"ssp126--ACCESS-CM2--2075"
"2000-07-12 12:00:00",2000,7,12,14.4,20.52,0.27,"ssp126","ACCESS-CM2","2075",194,2001,"ssp126--ACCESS-CM2--2075"
"2000-07-13 12:00:00",2000,7,13,17.22,23.85,0,"ssp126","ACCESS-CM2","2075",195,2001,"ssp126--ACCESS-CM2--2075"
"2000-07-14 12:00:00",2000,7,14,15.54,21.97,0,"ssp126","ACCESS-CM2","2075",196,2001,"ssp126--ACCESS-CM2--2075"
"2000-07-15 12:00:00",2000,7,15,10.69,23.83,0,"ssp126","ACCESS-CM2","2075",197,2001,"ssp126--ACCESS-CM2--2075"
"2000-07-16 12:00:00",2000,7,16,13.61,19,0,"ssp126","ACCESS-CM2","2075",198,2001,"ssp126--ACCESS-CM2--2075"
"2000-07-17 12:00:00",2000,7,17,11.44,22.15,0,"ssp126","ACCESS-CM2","2075",199,2001,"ssp126--ACCESS-CM2--2075"
"2000-07-18 12:00:00",2000,7,18,12.18,21.33,2.84,"ssp126","ACCESS-CM2","2075",200,2001,"ssp126--ACCESS-CM2--2075"
"2000-07-19 12:00:00",2000,7,19,11.29,19.92,0,"ssp126","ACCESS-CM2","2075",201,2001,"ssp126--ACCESS-CM2--2075"
"2000-07-20 12:00:00",2000,7,20,10.61,21.42,0.27,"ssp126","ACCESS-CM2","2075",202,2001,"ssp126--ACCESS-CM2--2075"
"2000-07-21 12:00:00",2000,7,21,15.39,18.99,5.03,"ssp126","ACCESS-CM2","2075",203,2001,"ssp126--ACCESS-CM2--2075"
"2000-07-22 12:00:00",2000,7,22,15.7,23.39,7.83,"ssp126","ACCESS-CM2","2075",204,2001,"ssp126--ACCESS-CM2--2075"
"2000-07-23 12:00:00",2000,7,23,15.18,20.14,12.38,"ssp126","ACCESS-CM2","2075",205,2001,"ssp126--ACCESS-CM2--2075"
"2000-07-24 12:00:00",2000,7,24,13.64,20.26,0,"ssp126","ACCESS-CM2","2075",206,2001,"ssp126--ACCESS-CM2--2075"
"2000-07-25 12:00:00",2000,7,25,12.97,22.32,0.09,"ssp126","ACCESS-CM2","2075",207,2001,"ssp126--ACCESS-CM2--2075"
"2000-07-26 12:00:00",2000,7,26,16.14,21.66,4.98,"ssp126","ACCESS-CM2","2075",208,2001,"ssp126--ACCESS-CM2--2075"
"2000-07-27 12:00:00",2000,7,27,16.23,23.16,2.78,"ssp126","ACCESS-CM2","2075",209,2001,"ssp126--ACCESS-CM2--2075"
"2000-07-28 12:00:00",2000,7,28,16.85,23.58,0.18,"ssp126","ACCESS-CM2","2075",210,2001,"ssp126--ACCESS-CM2--2075"
"2000-07-29 12:00:00",2000,7,29,14.74,23.57,0,"ssp126","ACCESS-CM2","2075",211,2001,"ssp126--ACCESS-CM2--2075"
"2000-07-30 12:00:00",2000,7,30,13.48,21.73,0.18,"ssp126","ACCESS-CM2","2075",212,2001,"ssp126--ACCESS-CM2--2075"
"2000-07-31 12:00:00",2000,7,31,9.89,24.38,4.98,"ssp126","ACCESS-CM2","2075",213,2001,"ssp126--ACCESS-CM2--2075"
